guid,city,latitude,longitude,date,level,desc,source,source2,source3,,,,
2014-01,Fallujah ,43.7833,33.35,1/14/14,ISIS,"Police and Army are said to have abandoned the city, but the Iraqi Army continued to fire shells at the city from bases outside. It is estimated that around 17 people were killed by these. ",WP: http://www.washingtonpost.com/world/al-qaeda-force-captures-fallujah-amid-rise-in-violence-in-iraq/2014/01/03/8abaeb2a-74aa-11e3-8def-a33011492df2_story.html,NYT: http://www.nytimes.com/interactive/2014/06/12/world/middleeast/the-iraq-isis-conflict-in-maps-photos-and-video.html,,,,,
2014-02,Hit ,33.634183,42.821972,1/14/14,ISIS,,LWJ: https://maps.google.com/maps/ms?ie=UTF8&hl=en&oe=UTF8&msa=0&msid=206503076099972915830.0004fb81021906110e889&t=m&source=embed&ll=37.561997%2c39.70459&spn=6.094982%2c12.084961&z=6&iwloc=0004fb83527099a223992&dg=feature,,,,,,
2014-03,Rawa ,34.4559,41.9017,1/14/14,ISIS,,LWJ: https://maps.google.com/maps/ms?ie=UTF8&hl=en&oe=UTF8&msa=0&msid=206503076099972915830.0004fb81021906110e889&t=m&source=embed&ll=37.561997%2c39.70459&spn=6.094982%2c12.084961&z=6&iwloc=0004fb83527099a223992&dg=feature,NYT: http://www.nytimes.com/interactive/2014/06/12/world/middleeast/the-iraq-isis-conflict-in-maps-photos-and-video.html,,,,,
2014-04,Anah,34.3683,41.9951,1/14/14,ISIS,,LWJ: https://maps.google.com/maps/ms?ie=UTF8&hl=en&oe=UTF8&msa=0&msid=206503076099972915830.0004fb81021906110e889&t=m&source=embed&ll=37.561997%2c39.70459&spn=6.094982%2c12.084961&z=6&iwloc=0004fb83527099a223992&dg=feature,,,,,,
2014-05,Haditha ,42.3781,34.1397,1/14/14,ISIS,,LWJ: https://maps.google.com/maps/ms?ie=UTF8&hl=en&oe=UTF8&msa=0&msid=206503076099972915830.0004fb81021906110e889&t=m&source=embed&ll=37.561997%2c39.70459&spn=6.094982%2c12.084961&z=6&iwloc=0004fb83527099a223992&dg=feature,,,,,,
2014-06,Saqlawiyah,43.6833,33.3964,1/14/14,ISIS,"Militants stormed the town police station, forcing out all the policemen after disarming them",LWJ:https://maps.google.com/maps/ms?ie=UTF8&hl=en&oe=UTF8&msa=0&msid=206503076099972915830.0004fb81021906110e889&t=m&source=embed&ll=37.561997%2c39.70459&spn=6.094982%2c12.084961&z=6&iwloc=0004fb83527099a223992&dg=feature,Press TV: http://www.presstv.ir/detail/2014/01/16/345872/iraq-forces-retake-western-town/,,,,,
2014-07,Habbaniyah,33.3859,43.5909,1/14/14,ISIS,,LWJ:https://maps.google.com/maps/ms?ie=UTF8&hl=en&oe=UTF8&msa=0&msid=206503076099972915830.0004fb81021906110e889&t=m&source=embed&ll=37.561997%2c39.70459&spn=6.094982%2c12.084961&z=6&iwloc=0004fb83527099a223992&dg=feature,,,,,,
2014-08,Karma ,33.3939,43.9164,3/14/14,ISIS,,The Independent: http://www.independent.co.uk/news/world/middle-east/iraq-crisis-isis-offensive-years-in-the-planning-has-turned-into-a-bloody-merciless-rampage-9539083.html,NYT: http://www.nytimes.com/interactive/2014/06/12/world/middleeast/the-iraq-isis-conflict-in-maps-photos-and-video.html,,,,,
2014-09,Abu Ghrab ,33.2934,44.0613,3/14/14,ISIS,,The independent: http://www.independent.co.uk/news/world/middle-east/iraq-crisis-isis-offensive-years-in-the-planning-has-turned-into-a-bloody-merciless-rampage-9539083.html,NYT: http://www.nytimes.com/interactive/2014/06/12/world/middleeast/the-iraq-isis-conflict-in-maps-photos-and-video.html,,,,,
2014-10,Mosul ,43.13,36.34,6/11/14,ISIS,"ISIS overtook city after Iraqi Army forces fled the city, it is thought that appoximately 500,000 residents of the city fled as a result of ISIS's attack. Around 50 turks are also thought to be being held hostage here by ISIS ",UN Iraq: http://www.uniraq.org/index.php?option=com_k2&view=item&id=2124:new-idps-map-by-province-18-june-2014&Itemid=626&lang=en,Time: http://time.com/2857751/iraq-tikrit-baghdad-isis-mosul/,NYT: http://www.nytimes.com/interactive/2014/06/12/world/middleeast/the-iraq-isis-conflict-in-maps-photos-and-video.html,WP: http://apps.washingtonpost.com/g/page/world/map-how-isis-is-carving-out-a-new-country/1095/,UN Iraq: http://www.uniraq.org/index.php?option=com_k2&view=item&id=2124:new-idps-map-by-province-18-june-2014&Itemid=626&lang=en,,
